shipment_id,departure_timestamp,origin_port,destination_port,origin_region,destination_region,route_corridor,ocean_side,vessel_type,cargo_type,distance_nm,avg_speed_knots,baseline_eta_days,weather_delay_days,port_handling_days,geopolitical_event,geopolitical_delay_days,expected_delay_days,adjusted_eta_days,risk_score,freight_cost_index,baseline_arrival_timestamp,adjusted_arrival_timestamp,delay_class
SHP-0000266,2025-05-24 12:00:00,Santos,Singapore,South America,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,9809.7,12.2,33.57,0.62,0.54,Red Sea Tension,1.6,2.76,36.33,0.495,1.123,2025-06-27 01:44:40.165021832,2025-06-29 19:57:24.936511495,delayed
SHP-0000267,2025-02-14 04:00:00,Los Angeles,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8632.7,17.2,20.94,1.13,1.11,None,0.0,2.24,23.18,0.337,1.045,2025-03-07 02:27:19.713162407,2025-03-09 08:13:22.950570849,delayed
SHP-0000268,2025-04-07 23:00:00,Dubai,Houston,Middle East,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Chemicals,8093.2,12.2,27.63,0.38,0.98,Suez Disruption,3.32,4.68,32.31,0.739,1.239,2025-05-05 14:01:36.071204338,2025-05-10 06:25:39.663651475,critical_delay
SHP-0000269,2025-05-23 12:00:00,Houston,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Bulk Carrier,Food,4358.4,14.7,12.36,0.39,1.74,None,0.0,2.14,14.5,0.328,1.043,2025-06-04 20:37:38.761825002,2025-06-06 23:53:19.430794538,delayed
SHP-0000270,2025-01-13 13:00:00,Durban,Mumbai,Africa,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,4339.4,17.5,10.31,0.62,1.16,None,0.0,1.77,12.08,0.298,1.035,2025-01-23 20:27:02.097186563,2025-01-25 14:57:50.057207737,delayed
SHP-0000271,2025-01-26 06:00:00,Houston,Los Angeles,North America,North America,Cape Diversion,Indian-Atlantic Side,Container,Machinery,1357.5,18.6,3.04,0.88,1.51,Strait of Malacca Tension,1.6,3.98,7.03,0.579,1.147,2025-01-29 07:04:13.042722051,2025-02-02 06:40:05.061142994,delayed
SHP-0000272,2025-05-13 02:00:00,Houston,Singapore,North America,Southeast Asia,Pacific Crossing,Pacific Side,Container,Food,8812.3,19.4,18.93,1.02,0.4,None,0.0,1.43,20.36,0.269,1.029,2025-06-01 00:22:37.162453514,2025-06-02 10:36:00.108442313,on_time
SHP-0000273,2025-01-30 03:00:00,Mumbai,Shanghai,South Asia,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,3097.7,15.7,8.2,0.61,1.12,None,0.0,1.74,9.93,0.295,1.035,2025-02-07 07:46:12.478640819,2025-02-09 01:25:30.125802521,delayed
SHP-0000274,2025-08-01 00:00:00,Houston,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Container,Machinery,4717.5,18.7,10.5,0.0,0.43,Port Strike,1.36,1.79,12.29,0.394,1.092,2025-08-11 12:04:46.323496479,2025-08-13 06:59:33.682594459,delayed
SHP-0000275,2025-01-08 22:00:00,Los Angeles,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Container,Machinery,5906.0,15.8,15.55,1.1,0.68,None,0.0,1.78,17.33,0.298,1.036,2025-01-24 11:10:35.340864476,2025-01-26 05:53:30.264559517,delayed
SHP-0000276,2025-02-10 20:00:00,Durban,Sydney,Africa,Oceania,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,6492.4,13.2,20.44,0.47,1.32,Panama Drought,1.93,3.72,24.15,0.564,1.145,2025-03-03 06:28:51.782291218,2025-03-06 23:40:01.857545008,delayed
SHP-0000277,2025-05-04 23:00:00,Rotterdam,Singapore,Europe,Southeast Asia,Suez Corridor,Indian-Atlantic Side,Tanker,Textiles,6139.1,13.9,18.45,0.35,1.11,None,0.0,1.47,19.91,0.272,1.029,2025-05-23 09:41:48.579964411,2025-05-24 20:55:58.315350570,on_time
SHP-0000278,2025-09-12 06:00:00,Mumbai,Sydney,South Asia,Oceania,Cape Diversion,Indian-Atlantic Side,Container,Textiles,6252.0,17.0,15.34,1.13,0.94,Red Sea Tension,2.03,4.1,19.44,0.637,1.17,2025-09-27 14:09:49.027333325,2025-10-01 16:30:28.704696796,critical_delay
SHP-0000279,2025-02-19 08:00:00,Sydney,Mumbai,Oceania,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,6252.0,17.4,15.0,1.35,0.68,None,0.0,2.03,17.03,0.319,1.041,2025-03-06 08:05:37.466034397,2025-03-08 08:50:12.555703337,delayed
SHP-0000280,2025-05-19 15:00:00,Los Angeles,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Container,Electronics,5906.0,20.4,12.06,0.0,0.72,None,0.0,0.72,12.78,0.21,1.014,2025-05-31 16:22:16.420503751,2025-06-01 09:43:30.164955775,on_time
SHP-0000281,2025-05-22 10:00:00,Singapore,Houston,Southeast Asia,North America,Pacific Crossing,Pacific Side,Container,Machinery,8812.3,18.0,20.42,0.0,0.85,None,0.0,0.85,21.27,0.22,1.017,2025-06-11 20:09:03.441516010,2025-06-12 16:26:42.172534625,on_time
SHP-0000282,2025-12-13 15:00:00,Mumbai,Dubai,South Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Chemicals,1191.1,16.7,2.97,0.74,1.18,None,0.0,1.91,4.88,0.31,1.038,2025-12-16 14:15:40.552933780,2025-12-18 12:12:48.507318561,delayed
SHP-0000283,2025-03-17 16:00:00,Sydney,Durban,Oceania,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,6492.4,16.9,16.03,0.72,1.72,None,0.0,2.44,18.47,0.353,1.049,2025-04-02 16:39:11.439006474,2025-04-05 03:14:59.823222636,delayed
SHP-0000284,2025-09-01 22:00:00,Sydney,Houston,Oceania,North America,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8506.0,17.5,20.29,0.0,1.25,Panama Drought,2.76,4.02,24.3,0.635,1.183,2025-09-22 04:55:22.872350441,2025-09-26 05:17:24.700495914,critical_delay
SHP-0000285,2025-10-07 13:00:00,Singapore,Rotterdam,Southeast Asia,Europe,Suez Corridor,Indian-Atlantic Side,Container,Auto Parts,6139.1,19.4,13.17,0.73,1.71,None,0.0,2.45,15.61,0.354,1.049,2025-10-20 16:57:54.027222036,2025-10-23 03:43:11.693202444,delayed
SHP-0000286,2025-01-24 17:00:00,Mumbai,Dubai,South Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Chemicals,1191.1,15.9,3.11,1.53,1.32,None,0.0,2.85,5.97,0.388,1.057,2025-01-27 19:43:31.013628360,2025-01-30 16:13:35.891731444,delayed
SHP-0000287,2025-08-15 18:00:00,Dubai,Shanghai,Middle East,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Electronics,3955.7,20.6,8.02,0.33,1.47,None,0.0,1.8,9.82,0.3,1.036,2025-08-23 18:28:08.694075466,2025-08-25 13:45:20.082257331,delayed
SHP-0000288,2025-03-20 23:00:00,Sydney,Santos,Oceania,South America,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8200.6,16.6,20.53,0.97,0.5,None,0.0,1.47,21.99,0.272,1.029,2025-04-10 11:41:30.414946632,2025-04-11 22:51:55.688107176,on_time
SHP-0000289,2025-04-24 21:00:00,Los Angeles,Sydney,North America,Oceania,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,7420.1,12.1,25.55,0.96,1.57,None,0.0,2.53,28.08,0.361,1.051,2025-05-20 10:12:08.901086302,2025-05-22 22:54:38.977965325,delayed
SHP-0000290,2025-06-10 23:00:00,Singapore,Sydney,Southeast Asia,Oceania,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,3881.8,15.5,10.43,0.74,0.79,None,0.0,1.52,11.95,0.277,1.03,2025-06-21 09:12:42.282219335,2025-06-22 21:44:19.658239771,delayed
SHP-0000291,2025-11-07 15:00:00,Shanghai,Durban,East Asia,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Auto Parts,7207.8,14.8,20.23,0.0,0.95,None,0.0,0.95,21.18,0.229,1.019,2025-11-27 20:31:23.374500470,2025-11-28 19:21:33.507597516,on_time
SHP-0000292,2025-06-17 06:00:00,Mumbai,Durban,South Asia,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,4339.4,13.9,13.03,0.9,1.56,Strait of Malacca Tension,2.13,4.59,17.62,0.662,1.183,2025-06-30 06:36:50.022170231,2025-07-04 20:52:31.521000360,critical_delay
SHP-0000293,2025-03-12 06:00:00,Dubai,Singapore,Middle East,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Food,3593.1,12.7,11.81,0.21,1.79,None,0.0,2.0,13.81,0.316,1.04,2025-03-24 01:30:58.027849156,2025-03-26 01:24:31.515409848,delayed
SHP-0000294,2025-05-06 09:00:00,Mumbai,Shanghai,South Asia,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,3097.7,21.7,5.93,0.0,0.73,None,0.0,0.73,6.66,0.211,1.015,2025-05-12 07:26:21.990414926,2025-05-13 00:56:01.368575257,on_time
SHP-0000295,2025-11-22 06:00:00,Durban,Dubai,Africa,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Electronics,4091.2,15.2,11.2,0.09,0.53,None,0.0,0.62,11.82,0.201,1.012,2025-12-03 10:54:25.548442401,2025-12-04 01:43:55.005089629,on_time
SHP-0000296,2025-01-07 10:00:00,Mumbai,Rotterdam,South Asia,Europe,Suez Corridor,Indian-Atlantic Side,Bulk Carrier,Auto Parts,3936.1,13.9,11.8,1.58,0.56,Strait of Malacca Tension,2.27,4.4,16.2,0.654,1.185,2025-01-19 05:12:37.790534646,2025-01-23 14:48:10.360644914,critical_delay
SHP-0000297,2025-02-28 17:00:00,Houston,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Tanker,Auto Parts,4358.4,13.0,13.96,1.56,0.77,None,0.0,2.33,16.29,0.344,1.047,2025-03-14 16:08:47.312444901,2025-03-17 00:00:04.288028616,delayed
SHP-0000298,2025-02-02 16:00:00,Houston,Singapore,North America,Southeast Asia,Pacific Crossing,Pacific Side,Tanker,Food,8812.3,13.4,27.49,0.23,1.32,Port Strike,1.58,3.13,30.62,0.521,1.13,2025-03-02 03:48:11.275746888,2025-03-05 06:51:57.288159515,delayed
SHP-0000299,2025-12-04 08:00:00,Singapore,Rotterdam,Southeast Asia,Europe,Suez Corridor,Indian-Atlantic Side,Tanker,Chemicals,6139.1,14.0,18.28,0.91,1.23,None,0.0,2.14,20.41,0.328,1.043,2025-12-22 14:38:01.423334394,2025-12-24 17:54:18.120746407,delayed
SHP-0000300,2025-11-12 00:00:00,Los Angeles,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,8632.7,18.7,19.2,0.5,1.7,None,0.0,2.19,21.39,0.333,1.044,2025-12-01 04:45:24.820351796,2025-12-03 09:25:18.797459079,delayed
SHP-0000301,2025-11-02 23:00:00,Santos,Rotterdam,South America,Europe,Atlantic Crossing,Atlantic Side,Tanker,Machinery,5278.4,16.0,13.72,0.4,1.38,None,0.0,1.78,15.51,0.298,1.036,2025-11-16 16:22:13.915769620,2025-11-18 11:07:12.118861093,delayed
SHP-0000302,2025-10-28 06:00:00,Durban,Santos,Africa,South America,Cape Diversion,Indian-Atlantic Side,Container,Machinery,4649.8,22.9,8.47,0.26,0.66,None,0.0,0.92,9.39,0.227,1.018,2025-11-05 17:17:16.576709072,2025-11-06 15:20:44.230723558,on_time
SHP-0000303,2025-08-22 04:00:00,Los Angeles,Dubai,North America,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Machinery,8263.9,18.8,18.36,0.91,1.62,None,0.0,2.53,20.9,0.361,1.051,2025-09-09 12:41:32.379149437,2025-09-12 01:30:45.237322218,delayed
SHP-0000304,2025-08-30 17:00:00,Dubai,Shanghai,Middle East,East Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Food,3955.7,14.1,11.7,0.0,0.56,None,0.0,0.56,12.26,0.196,1.011,2025-09-11 09:46:40.206094259,2025-09-11 23:07:31.278943202,on_time
SHP-0000305,2025-04-27 22:00:00,Shanghai,Dubai,East Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Textiles,3955.7,13.1,12.55,0.52,1.46,Customs Slowdown,1.01,2.99,15.54,0.475,1.104,2025-05-10 11:11:38.395979047,2025-05-13 10:57:09.203605470,delayed
SHP-0000306,2025-01-23 09:00:00,Los Angeles,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Machinery,8632.7,16.8,21.36,0.0,0.75,None,0.0,0.75,22.11,0.213,1.015,2025-02-13 17:33:16.539524135,2025-02-14 11:39:24.524740114,on_time
SHP-0000307,2025-09-07 10:00:00,Sydney,Rotterdam,Oceania,Europe,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Food,10273.3,13.6,31.4,0.08,1.15,None,0.0,1.24,32.63,0.253,1.025,2025-10-08 19:31:06.916954411,2025-10-10 01:12:01.060030814,on_time
SHP-0000308,2025-03-18 17:00:00,Houston,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Container,Auto Parts,4717.5,16.6,11.82,1.13,1.47,None,0.0,2.6,14.42,0.367,1.052,2025-03-30 12:36:04.690021870,2025-04-02 03:05:44.180570483,delayed
SHP-0000309,2025-12-30 04:00:00,Shanghai,Los Angeles,East Asia,North America,Pacific Crossing,Pacific Side,Tanker,Electronics,5758.5,13.0,18.52,1.06,0.44,None,0.0,1.5,20.01,0.275,1.03,2026-01-17 16:24:13.597112220,2026-01-19 04:19:10.614781689,on_time
SHP-0000310,2025-10-18 11:00:00,Sydney,Rotterdam,Oceania,Europe,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,10273.3,12.0,35.69,1.46,1.06,None,0.0,2.52,38.22,0.36,1.05,2025-11-23 03:40:40.021802970,2025-11-25 16:15:32.568046712,delayed
SHP-0000311,2025-08-23 09:00:00,Shanghai,Houston,East Asia,North America,Pacific Crossing,Pacific Side,Bulk Carrier,Machinery,6716.7,12.5,22.31,1.12,1.64,None,0.0,2.76,25.07,0.38,1.055,2025-09-14 16:21:11.373662113,2025-09-17 10:41:04.797540983,delayed
SHP-0000312,2025-05-03 22:00:00,Shanghai,Los Angeles,East Asia,North America,Pacific Crossing,Pacific Side,Tanker,Textiles,5758.5,12.1,19.82,0.0,0.45,None,0.0,0.45,20.27,0.187,1.009,2025-05-23 17:38:49.196948144,2025-05-24 04:22:28.515560191,on_time
SHP-0000313,2025-11-30 00:00:00,Sydney,Santos,Oceania,South America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Auto Parts,8200.6,13.5,25.34,0.41,0.46,Strait of Malacca Tension,2.24,3.11,28.45,0.545,1.156,2025-12-25 08:04:31.868445633,2025-12-28 10:42:20.802900286,delayed
SHP-0000314,2025-07-19 04:00:00,Santos,Houston,South America,North America,Panama Corridor,Atlantic-Pacific Side,Bulk Carrier,Textiles,4717.5,13.4,14.69,0.43,1.3,None,0.0,1.73,16.42,0.294,1.035,2025-08-02 20:37:16.656305865,2025-08-04 14:08:39.301864768,delayed
SHP-0000315,2025-04-09 16:00:00,Singapore,Rotterdam,Southeast Asia,Europe,Suez Corridor,Indian-Atlantic Side,Container,Food,6139.1,19.2,13.35,0.0,1.35,Customs Slowdown,0.9,2.25,15.61,0.405,1.084,2025-04-23 00:26:45.683167787,2025-04-25 06:33:15.825460752,delayed
SHP-0000316,2025-10-05 07:00:00,Mumbai,Santos,South Asia,South America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Chemicals,8463.8,13.0,27.19,0.32,0.68,Panama Drought,1.86,2.85,30.04,0.488,1.124,2025-11-01 11:32:02.864834370,2025-11-04 08:00:25.769136738,delayed
SHP-0000317,2025-12-07 13:00:00,Houston,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Bulk Carrier,Machinery,4717.5,13.6,14.46,0.38,1.15,None,0.0,1.53,15.99,0.278,1.031,2025-12-22 00:03:33.340422496,2025-12-23 12:49:59.626883409,delayed
SHP-0000318,2025-07-07 07:00:00,Los Angeles,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,8632.7,22.4,16.05,0.43,1.52,None,0.0,1.95,18.0,0.312,1.039,2025-07-23 08:14:33.715812393,2025-07-25 06:59:09.113356841,delayed
SHP-0000319,2025-09-08 02:00:00,Sydney,Durban,Oceania,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,6492.4,17.6,15.33,0.53,1.59,None,0.0,2.12,17.44,0.326,1.042,2025-09-23 09:54:00.040075848,2025-09-25 12:40:23.643958584,delayed
SHP-0000320,2025-10-03 14:00:00,Dubai,Durban,Middle East,Africa,Cape Diversion,Indian-Atlantic Side,Container,Machinery,4091.2,21.9,7.78,1.23,1.03,None,0.0,2.26,10.04,0.338,1.045,2025-10-11 08:46:10.548249024,2025-10-13 15:02:54.568461891,delayed
SHP-0000321,2025-09-04 15:00:00,Sydney,Singapore,Oceania,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,3881.8,21.5,7.53,1.34,0.88,Port Strike,1.68,3.9,11.43,0.592,1.15,2025-09-12 03:46:22.592211824,2025-09-16 01:20:02.934842781,delayed
SHP-0000322,2025-02-05 13:00:00,Houston,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,8888.9,13.8,26.84,0.14,0.75,None,0.0,0.88,27.72,0.223,1.018,2025-03-04 09:09:41.830110440,2025-03-05 06:18:36.517814916,on_time
SHP-0000323,2025-06-22 18:00:00,Mumbai,Santos,South Asia,South America,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8463.8,16.5,21.35,1.36,0.7,None,0.0,2.06,23.41,0.321,1.041,2025-07-14 02:30:07.410027427,2025-07-16 03:53:07.730951985,delayed
SHP-0000324,2025-06-07 01:00:00,Singapore,Shanghai,Southeast Asia,East Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,2342.6,12.1,8.07,0.67,1.73,None,0.0,2.4,10.46,0.35,1.048,2025-06-15 02:36:41.718952517,2025-06-17 12:08:10.242598574,delayed
SHP-0000325,2025-01-24 22:00:00,Los Angeles,Sydney,North America,Oceania,Cape Diversion,Indian-Atlantic Side,Container,Textiles,7420.1,19.5,15.88,0.26,0.75,None,0.0,1.01,16.89,0.234,1.02,2025-02-09 19:09:01.868427941,2025-02-10 19:22:13.534780235,on_time
SHP-0000326,2025-02-17 20:00:00,Mumbai,Singapore,South Asia,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,2403.0,13.7,7.28,0.31,1.35,None,0.0,1.66,8.94,0.288,1.033,2025-02-25 02:47:31.445903091,2025-02-26 18:34:23.519995109,delayed
SHP-0000327,2025-09-20 05:00:00,Dubai,Houston,Middle East,North America,Cape Diversion,Indian-Atlantic Side,Tanker,Textiles,8093.2,16.4,20.59,0.38,0.7,None,0.0,1.08,21.66,0.24,1.022,2025-10-10 19:04:32.648151538,2025-10-11 20:52:55.100032435,on_time
SHP-0000328,2025-09-27 01:00:00,Shanghai,Rotterdam,East Asia,Europe,Suez Corridor,Indian-Atlantic Side,Container,Machinery,5205.9,17.6,12.31,0.27,1.55,Strait of Malacca Tension,2.49,4.31,16.62,0.66,1.193,2025-10-09 08:22:17.835707801,2025-10-13 15:46:39.673613619,critical_delay
SHP-0000329,2025-11-09 21:00:00,Shanghai,Mumbai,East Asia,South Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Machinery,3097.7,17.9,7.22,0.0,1.51,None,0.0,1.51,8.73,0.276,1.03,2025-11-17 02:22:55.838116548,2025-11-18 14:32:45.861998104,delayed
SHP-0000330,2025-07-19 01:00:00,Los Angeles,Mumbai,North America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Electronics,8632.7,21.5,16.72,0.49,1.48,None,0.0,1.96,18.68,0.314,1.039,2025-08-04 18:15:57.344303030,2025-08-06 17:22:44.273071467,delayed
SHP-0000331,2025-06-10 14:00:00,Singapore,Shanghai,Southeast Asia,East Asia,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,2342.6,21.3,4.58,0.0,1.38,None,0.0,1.38,5.95,0.265,1.028,2025-06-15 03:51:07.695995713,2025-06-16 12:52:33.727890596,on_time
SHP-0000332,2025-04-14 19:00:00,Shanghai,Singapore,East Asia,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,2342.6,15.6,6.24,0.0,1.46,Strait of Malacca Tension,1.54,3.0,9.24,0.493,1.124,2025-04-21 00:42:46.841837232,2025-04-24 00:41:41.680438621,delayed
SHP-0000333,2025-05-11 04:00:00,Santos,Sydney,South America,Oceania,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Chemicals,8200.6,12.0,28.48,1.15,0.77,Strait of Malacca Tension,1.9,3.83,32.31,0.584,1.157,2025-06-08 15:32:28.454193280,2025-06-12 11:22:33.690855800,delayed
SHP-0000334,2025-08-26 03:00:00,Durban,Los Angeles,Africa,North America,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,10521.1,16.0,27.42,0.68,1.53,Panama Drought,1.75,3.96,31.38,0.575,1.144,2025-09-22 13:08:39.741411851,2025-09-26 12:04:15.190745954,delayed
SHP-0000335,2025-05-08 03:00:00,Houston,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Container,Textiles,4717.5,22.6,8.69,1.45,1.58,None,0.0,3.03,11.72,0.402,1.061,2025-05-16 19:40:29.598203481,2025-05-19 20:19:10.649088335,delayed
SHP-0000336,2025-01-01 04:00:00,Los Angeles,Durban,North America,Africa,Cape Diversion,Indian-Atlantic Side,Container,Food,10521.1,15.6,28.11,0.0,0.45,None,0.0,0.45,28.56,0.187,1.009,2025-01-29 06:44:09.260278474,2025-01-29 17:30:11.670249234,on_time
SHP-0000337,2025-08-06 14:00:00,Shanghai,Mumbai,East Asia,South Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,3097.7,14.4,8.99,0.03,1.0,Port Strike,1.42,2.45,11.44,0.454,1.109,2025-08-15 13:44:06.203020012,2025-08-18 00:37:50.663953240,delayed
SHP-0000338,2025-08-10 11:00:00,Shanghai,Rotterdam,East Asia,Europe,Suez Corridor,Indian-Atlantic Side,Container,Food,5205.9,20.8,10.42,0.93,1.56,Panama Drought,1.72,4.21,14.63,0.594,1.148,2025-08-20 21:03:52.524046512,2025-08-25 02:01:57.264353313,critical_delay
SHP-0000339,2025-07-22 21:00:00,Dubai,Los Angeles,Middle East,North America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,8263.9,13.1,26.37,0.24,1.24,None,0.0,1.48,27.85,0.273,1.03,2025-08-18 05:52:52.316036685,2025-08-19 17:22:19.049688439,on_time
SHP-0000340,2025-02-06 12:00:00,Singapore,Los Angeles,Southeast Asia,North America,Pacific Crossing,Pacific Side,Container,Food,7786.4,21.0,15.43,0.19,1.68,None,0.0,1.87,17.3,0.306,1.037,2025-02-21 22:21:18.953593850,2025-02-23 19:15:52.086914089,delayed
SHP-0000341,2025-10-20 19:00:00,Dubai,Durban,Middle East,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,4091.2,11.1,15.4,0.44,1.67,None,0.0,2.1,17.5,0.325,1.042,2025-11-05 04:31:47.607824642,2025-11-07 06:56:36.391656505,delayed
SHP-0000342,2025-06-22 14:00:00,Shanghai,Dubai,East Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Food,3955.7,13.4,12.32,0.33,0.68,None,0.0,1.01,13.34,0.235,1.02,2025-07-04 21:46:37.786174037,2025-07-05 22:08:10.855293858,on_time
SHP-0000343,2025-10-18 06:00:00,Mumbai,Houston,South Asia,North America,Cape Diversion,Indian-Atlantic Side,Container,Food,8888.9,18.7,19.77,0.33,1.32,None,0.0,1.65,21.43,0.288,1.033,2025-11-07 00:35:38.372975937,2025-11-08 16:12:25.717417375,delayed
SHP-0000344,2025-10-22 23:00:00,Shanghai,Dubai,East Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,3955.7,20.5,8.05,0.23,1.47,None,0.0,1.7,9.76,0.292,1.034,2025-10-31 00:18:50.449228361,2025-11-01 17:11:39.388417440,delayed
SHP-0000345,2025-11-29 19:00:00,Durban,Santos,Africa,South America,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,4649.8,11.2,17.24,0.06,0.92,Customs Slowdown,1.07,2.05,19.28,0.401,1.087,2025-12-17 00:38:27.308297152,2025-12-19 01:43:46.590902247,delayed
SHP-0000346,2025-10-11 07:00:00,Los Angeles,Durban,North America,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Chemicals,10521.1,14.7,29.81,0.0,1.13,None,0.0,1.13,30.94,0.244,1.023,2025-11-10 02:26:49.433963236,2025-11-11 05:35:44.300144754,on_time
SHP-0000347,2025-07-06 01:00:00,Rotterdam,Durban,Europe,Africa,Cape Diversion,Indian-Atlantic Side,Container,Electronics,5820.3,21.8,11.13,1.07,0.59,None,0.0,1.66,12.79,0.288,1.033,2025-07-17 04:06:41.414639414,2025-07-18 19:59:06.734316972,delayed
SHP-0000348,2025-01-27 11:00:00,Los Angeles,Dubai,North America,Middle East,Cape Diversion,Indian-Atlantic Side,Tanker,Auto Parts,8263.9,14.3,24.12,0.62,1.71,None,0.0,2.32,26.45,0.344,1.046,2025-02-20 13:55:06.682551055,2025-02-22 21:42:58.233438861,delayed
SHP-0000349,2025-03-12 13:00:00,Houston,Singapore,North America,Southeast Asia,Pacific Crossing,Pacific Side,Container,Machinery,8812.3,20.0,18.35,0.52,0.98,None,0.0,1.5,19.85,0.275,1.03,2025-03-30 21:25:26.853761611,2025-04-01 09:21:20.293938282,on_time
SHP-0000350,2025-07-18 00:00:00,Singapore,Dubai,Southeast Asia,Middle East,Cape Diversion,Indian-Atlantic Side,Container,Machinery,3593.1,16.5,9.09,0.45,1.35,None,0.0,1.8,10.89,0.3,1.036,2025-07-27 02:11:17.065219879,2025-07-28 21:27:44.860558207,delayed
SHP-0000351,2025-12-13 07:00:00,Durban,Singapore,Africa,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,5190.8,12.4,17.45,0.1,0.53,None,0.0,0.63,18.08,0.202,1.013,2025-12-30 17:48:38.730530013,2025-12-31 08:54:41.300113501,on_time
SHP-0000352,2025-02-04 14:00:00,Dubai,Durban,Middle East,Africa,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,4091.2,22.2,7.68,0.06,1.8,None,0.0,1.85,9.53,0.304,1.037,2025-02-12 06:22:29.935320574,2025-02-14 02:49:45.386829076,delayed
SHP-0000353,2025-08-04 17:00:00,Shanghai,Houston,East Asia,North America,Pacific Crossing,Pacific Side,Bulk Carrier,Electronics,6716.7,15.6,17.96,0.0,1.44,None,0.0,1.44,19.39,0.27,1.029,2025-08-22 15:56:45.411107565,2025-08-24 02:27:42.106072743,on_time
SHP-0000354,2025-12-13 04:00:00,Shanghai,Los Angeles,East Asia,North America,Pacific Crossing,Pacific Side,Tanker,Chemicals,5758.5,16.6,14.44,0.0,1.41,None,0.0,1.41,15.85,0.268,1.028,2025-12-27 14:34:39.285909137,2025-12-29 00:27:40.377461417,on_time
SHP-0000355,2025-09-05 21:00:00,Rotterdam,Dubai,Europe,Middle East,Suez Corridor,Indian-Atlantic Side,Bulk Carrier,Textiles,2961.4,11.1,11.08,1.23,1.66,None,0.0,2.89,13.97,0.391,1.058,2025-09-16 22:57:34.981393924,2025-09-19 20:19:11.450881148,delayed
